Ticker Symbol,Entity Name,Unique ID,As Of Date,Username,Checkins,Has App,Were Here Count,Likes,Talking About Count,Facebook Id,Date Added,Date Updated,Ticker Sector,Ticker Industry
lon:dom,207571100452,2316712,2017-02-28 00:00:00,DominosPizza,0,False,75804,1042719,5532,207571100452,2017-02-28 09:36:39,2017-02-28 09:36:39,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2312622,2017-02-28 00:00:00,papajohnsus,5913,False,319244,5033382,11090,34703237638,2017-02-28 08:18:16,2017-02-28 08:18:16,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2316713,2017-02-28 00:00:00,dominos.ch,0,False,0,9611,107,137239632978345,2017-02-28 09:36:39,2017-02-28 09:36:39,Consumer Services,Travel & Leisure
lon:dom,375119861670,2316711,2017-02-28 00:00:00,DominosIreland,0,False,0,79687,576,375119861670,2017-02-28 09:36:39,2017-02-28 09:36:39,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2316710,2017-02-28 00:00:00,dominosdeutschland,772,False,0,241825,1127,172657786081466,2017-02-28 09:36:38,2017-02-28 09:36:38,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2313680,2017-02-28 00:00:00,Dominos,0,False,306529,16653833,87515,6657899956,2017-02-28 08:41:29,2017-02-28 08:41:29,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2307246,2017-02-27 00:00:00,Dominos,0,False,306254,16647498,109169,6657899956,2017-02-27 07:51:32,2017-02-27 07:51:32,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2306188,2017-02-27 00:00:00,papajohnsus,5909,False,319022,5031073,11110,34703237638,2017-02-27 07:31:44,2017-02-27 07:31:44,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2310255,2017-02-27 00:00:00,dominos.ch,0,False,0,9609,198,137239632978345,2017-02-27 08:51:15,2017-02-27 08:51:15,Consumer Services,Travel & Leisure
lon:dom,375119861670,2310253,2017-02-27 00:00:00,DominosIreland,0,False,0,79681,494,375119861670,2017-02-27 08:51:14,2017-02-27 08:51:14,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2310252,2017-02-27 00:00:00,dominosdeutschland,772,False,0,241792,1220,172657786081466,2017-02-27 08:51:13,2017-02-27 08:51:13,Consumer Services,Travel & Leisure
lon:dom,207571100452,2310254,2017-02-27 00:00:00,DominosPizza,0,False,75792,1042695,4626,207571100452,2017-02-27 08:51:14,2017-02-27 08:51:14,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2303818,2017-02-26 00:00:00,dominosdeutschland,772,False,0,241733,1260,172657786081466,2017-02-26 09:23:16,2017-02-26 09:23:16,Consumer Services,Travel & Leisure
lon:dom,375119861670,2303819,2017-02-26 00:00:00,DominosIreland,0,False,0,79658,254,375119861670,2017-02-26 09:23:17,2017-02-26 09:23:17,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2300812,2017-02-26 00:00:00,Dominos,0,False,305920,16642845,109169,6657899956,2017-02-26 08:31:31,2017-02-26 08:31:31,Consumer Services,Travel & Leisure
lon:dom,207571100452,2303820,2017-02-26 00:00:00,DominosPizza,0,False,75770,1042498,3154,207571100452,2017-02-26 09:23:17,2017-02-26 09:23:17,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2303821,2017-02-26 00:00:00,dominos.ch,0,False,0,9611,435,137239632978345,2017-02-26 09:23:17,2017-02-26 09:23:17,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2299754,2017-02-26 00:00:00,papajohnsus,5905,False,318804,5028622,11263,34703237638,2017-02-26 08:07:49,2017-02-26 08:07:49,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2297384,2017-02-25 00:00:00,dominosdeutschland,772,False,0,241730,1260,172657786081466,2017-02-25 20:13:33,2017-02-25 20:13:33,Consumer Services,Travel & Leisure
lon:dom,207571100452,2297386,2017-02-25 00:00:00,DominosPizza,0,False,75753,1042500,3154,207571100452,2017-02-25 20:13:33,2017-02-25 20:13:33,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2293321,2017-02-25 00:00:00,papajohnsus,5897,False,318652,5027724,11263,34703237638,2017-02-25 19:36:09,2017-02-25 19:36:09,Consumer Services,Travel & Leisure
lon:dom,375119861670,2297385,2017-02-25 00:00:00,DominosIreland,0,False,0,79649,254,375119861670,2017-02-25 20:13:33,2017-02-25 20:13:33,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2297387,2017-02-25 00:00:00,dominos.ch,0,False,0,9611,435,137239632978345,2017-02-25 20:13:33,2017-02-25 20:13:33,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2294379,2017-02-25 00:00:00,Dominos,0,False,305702,16641319,129887,6657899956,2017-02-25 19:46:46,2017-02-25 19:46:46,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2286897,2017-02-24 00:00:00,papajohnsus,5895,False,318336,5024283,11879,34703237638,2017-02-24 06:08:37,2017-02-24 06:08:37,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2290951,2017-02-24 00:00:00,dominosdeutschland,772,False,0,241669,1307,172657786081466,2017-02-24 07:09:53,2017-02-24 07:09:53,Consumer Services,Travel & Leisure
lon:dom,375119861670,2290952,2017-02-24 00:00:00,DominosIreland,0,False,0,79583,194,375119861670,2017-02-24 07:09:54,2017-02-24 07:09:54,Consumer Services,Travel & Leisure
lon:dom,207571100452,2290953,2017-02-24 00:00:00,DominosPizza,0,False,75723,1041787,1428,207571100452,2017-02-24 07:09:54,2017-02-24 07:09:54,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2287950,2017-02-24 00:00:00,Dominos,0,False,305560,16634472,181297,6657899956,2017-02-24 06:23:44,2017-02-24 06:23:44,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2290954,2017-02-24 00:00:00,dominos.ch,0,False,0,9598,1218,137239632978345,2017-02-24 07:09:55,2017-02-24 07:09:55,Consumer Services,Travel & Leisure
lon:dom,375119861670,2284529,2017-02-23 00:00:00,DominosIreland,0,False,0,79577,198,375119861670,2017-02-23 08:19:59,2017-02-23 08:19:59,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2281535,2017-02-23 00:00:00,Dominos,0,False,305323,16630906,214250,6657899956,2017-02-23 07:23:39,2017-02-23 07:23:39,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2284531,2017-02-23 00:00:00,dominos.ch,0,False,0,9598,1567,137239632978345,2017-02-23 08:20:00,2017-02-23 08:20:00,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2284528,2017-02-23 00:00:00,dominosdeutschland,772,False,0,241622,1376,172657786081466,2017-02-23 08:19:59,2017-02-23 08:19:59,Consumer Services,Travel & Leisure
lon:dom,207571100452,2284530,2017-02-23 00:00:00,DominosPizza,0,False,75712,1041779,1533,207571100452,2017-02-23 08:19:59,2017-02-23 08:19:59,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2280482,2017-02-23 00:00:00,papajohnsus,5880,False,318150,5021498,12123,34703237638,2017-02-23 07:01:19,2017-02-23 07:01:19,Consumer Services,Travel & Leisure
nasdaq:pzza,34703237638,2274088,2017-02-22 00:00:00,papajohnsus,5876,False,318009,5019554,12744,34703237638,2017-02-22 06:40:56,2017-02-22 06:40:56,Consumer Services,Travel & Leisure
lon:dom,375119861670,2278114,2017-02-22 00:00:00,DominosIreland,0,False,0,79575,220,375119861670,2017-02-22 07:38:11,2017-02-22 07:38:11,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2278113,2017-02-22 00:00:00,dominosdeutschland,772,False,0,241556,1386,172657786081466,2017-02-22 07:38:10,2017-02-22 07:38:10,Consumer Services,Travel & Leisure
lon:dom,137239632978345,2278116,2017-02-22 00:00:00,dominos.ch,0,False,0,9592,1765,137239632978345,2017-02-22 07:38:11,2017-02-22 07:38:11,Consumer Services,Travel & Leisure
lon:dom,207571100452,2278115,2017-02-22 00:00:00,DominosPizza,0,False,75705,1041812,1825,207571100452,2017-02-22 07:38:11,2017-02-22 07:38:11,Consumer Services,Travel & Leisure
nyse:dpz,6657899956,2275141,2017-02-22 00:00:00,Dominos,0,False,305113,16628171,256266,6657899956,2017-02-22 06:53:20,2017-02-22 06:53:20,Consumer Services,Travel & Leisure
lon:dom,172657786081466,2271718,2017-02-21 00:00:00,dominosdeutschland,772,False,0,241514,1364,172657786081466,2017-02-21 07:33:14,2017-02-21 07:33:14,Consumer Services,Travel & Leisure
lon:dom,375119861670,2271719,2017-02-21 00:00:00,DominosIreland,0,False,0,79575,275,375119861670,2017-02-21 07:33:15,2017-02-21 07:33:15,Consumer Services,Travel & Leisure
